fl,,flh,
./GranadaCommunicChain115-01-14-53-53,Communication 0 1,11,
./MT_ExpCommCh1G216-01-08-08-49,Communication 0 2,12,
./MT_ExpComm_1_3_16-01-11-01-07,Communication 0 3,12,
./MT_Exp_Comm_1_416-01-12-05-51,Communication 0 4,11,
./MT_Exp_Comm_1_5_16-01-14-55-33,Communication 0 5,12,
./MT_Exp_Comm_1_6_16-01-16-03-07,Communication 0 6,11,
./MT_Exp_Comm_2_1_16-01-16-49-16,Communication 1 1,12,
./MT_Exp_Comm_2_2_16-01-18-00-21,Communication 1 2,11,
./MT_Exp_Comm_2_3_16-01-18-50-07,Communication 1 3,12,
./MT_Exp_Comm_2_4_17-01-09-52-50,Communication 1 4,12,
./MT_Exp_Comm_2_4_17-01-09-52-50,Communication 1 5,12,MT_Exp_Comm_2_5_17-01-10-38-45
./MT_Exp_Comm_2_6_17-01-11-51-13,Communication 1 6,12,
./MT_Exp_Comm_4_1_31-01-13-42-11,Communication 2 1,12,
./MT_Exp_Comm_4_2_Bis_31-01-15-19-20,Communication 2 2,11,
./MT_Exp_Comm_4_3_31-01-15-51-08,Communication 2 3,12,
./MT_Com4_5_BIS08-05-07-56-05,Communication 2 4,9,
./MT_Com4_5_BIS08-05-07-56-05,Communication 2 5,12,
./MT_Com4_5_BIS08-05-07-56-05,Communication 2 6,11,
./MT_Exp_Comm_5_2_20-02-11-01-53,Communication 3 1,12,
./MT_Exp_Comm_5_2_20-02-11-01-53,Communication 3 2,12,MT_Exp_Comm_5_3_20-02-14-21-39
./MT_Exp_Comm_5_3_20-02-14-21-39,Communication 3 3,12,
./MT_Exp_Comm_5_4_20-02-15-09-27,Communication 3 4,11,
./MT_Exp_Comm_5_5_20-02-15-49-23,Communication 3 5,11,
./MT_Exp_Comm_5_6_20-02-17-46-17,Communication 3 6,12,
./MT_Exp_Learn_1_1_06-02-09-02-00,Learn 4 1,12,
./MT_Exp_Learn_1_2_06-02-09-50-14,Learn 4 2,12,
./MT_Exp_Learn_1_4_06-02-11-13-26,Learn 4 3,12,MT_Exp_Learn_1_3_06-02-10-24-05
./MT_Exp_Learn_1_4_06-02-11-13-26,Learn 4 4,12,
./MT_Exp_Learn_1_5_06-02-12-09-29,Learn 4 5,12,
./MT_Exp_Learn_1_5_06-02-12-09-29,Learn 4 6,12,MT_Exp_Learn_1_6_06-02-13-14-06
./MT_Exp_Learn_2_1_06-02-09-03-56,Learn 5 1,12,
./MT_Exp_Larn_2_3_06-02-10-39-32,Learn 5 2,12,MT_Exp_Learn_2_3_06-02-10-39-32
./MT_Exp_Larn_2_3_06-02-10-39-32,Learn 5 3,12,
./MT_Exp_Learn_2_4_06-02-12-14-29,Learn 5 4,12,
./MT_Exp_Learn_2_5_06-02-13-08-30,Learn 5 5,12,
./MT_Exp_Learn_2_5_06-02-13-08-30,Learn 5 6,12,MT_Exp_Learn_2_6_06-02-14-30-46
./MT_Exp_Learn_3_1_06-02-17-48-45,Learn 6 1,12,
./MT_Exp_Learn_3_2_07-02-09-23-29,Learn 6 2,12,
./MT_Ep_Learn_3_4_19-02-18-12-03,Learn 6 3,12,MT_Exp_Learn_3_3_19-02-14-31-53
./MT_Ep_Learn_3_4_19-02-18-12-03,Learn 6 4,12,
./MT_Exp_Learn_3_5_20-02-07-47-11,Learn 6 5,11,
./MT_Exp_Learn_3_5_20-02-07-47-11,Learn 6 6,12,MT_Exp_Learn_3_6_20-02-08-45-14
./MT_Exp_Learn_4_1_07-02-08-32-24,Learn 7 1,12,
./MT_Exp_Learn_4_2_07-02-09-26-26,Learn 7 2,12,
./MT_Exp_Learn_4_4_19-02-17-45-24,Learn 7 3,12,MT_Exp_Learn_4_3_19-02-14-30-57
./MT_Exp_Learn_4_4_19-02-17-45-24,Learn 7 4,12,
./MT_Exp_Learn_4_5_20-02-08-07-53,Learn 7 5,12,
./MT_Exp_Learn_4_5_20-02-08-07-53,Learn 7 6,11,MT_Exp_Learn_4_6_20-02-08-44-30